id,type,timestamp,price
22296,pc,1689462000000,2105818
22296,pc,1689548400000,1939000
22296,pc,1689634800000,1902364
22296,pc,1689721200000,1757583
22296,pc,1689807600000,1517833
22296,pc,1689894000000,1556917
22296,pc,1689980400000,1744154
22296,pc,1690066800000,1835333
22296,pc,1690153200000,1871500
22296,pc,1690239600000,1856750
22296,pc,1690326000000,1846833
22296,pc,1690412400000,1829538
22296,pc,1690498800000,1805167
22296,pc,1690585200000,1781833
22296,pc,1690671600000,1757333
22296,pc,1690758000000,1707833
22296,pc,1690844400000,1715000
22296,pc,1690930800000,1705333
22296,pc,1691017200000,1704583
22296,pc,1691103600000,1570167
22296,pc,1691190000000,1439417
22296,pc,1691276400000,1466818
22296,pc,1691362800000,1535667
22296,pc,1691449200000,1472727
22296,pc,1691535600000,1449083
22296,pc,1691622000000,1457167
22296,pc,1691708400000,1382250
22296,pc,1691794800000,1261545
22296,pc,1691881200000,1220000
22296,pc,1691967600000,1156636
22296,pc,1692054000000,1140583
22296,pc,1692140400000,1108167
22296,pc,1692226800000,1201583
22296,pc,1692313200000,1072909
22296,pc,1692399600000,762364
22296,pc,1692486000000,783750
22296,pc,1692572400000,770273
22296,pc,1692658800000,772917
22296,pc,1692745200000,805167
22296,pc,1692831600000,807909
22296,pc,1692918000000,756364
22296,pc,1693004400000,756182
22296,pc,1693090800000,767818
22296,pc,1693177200000,746167
22296,pc,1693263600000,795364
22296,pc,1693350000000,795091
22296,pc,1693436400000,825636
22296,pc,1693522800000,807727
22296,pc,1693609200000,837000
22296,pc,1693695600000,855833
22296,pc,1693782000000,883636
22296,pc,1693868400000,909000
22296,pc,1693954800000,938545
22296,pc,1694041200000,955154
22296,pc,1694127600000,973917
22296,pc,1694214000000,841455
22296,pc,1694300400000,850818
22296,pc,1694386800000,865083
22296,pc,1694473200000,772091
22296,pc,1694559600000,577909
22296,pc,1694646000000,640182
22296,pc,1694732400000,692583
22296,pc,1694818800000,805273
22296,pc,1694905200000,831833
22296,pc,1694991600000,886167
22296,pc,1695078000000,899167
22296,pc,1695164400000,951667
22296,pc,1695250800000,951667
22296,console,1685055600000,6694915
22296,console,1685142000000,4970333
22296,console,1685228400000,4866289
22296,console,1685314800000,4703275
22296,console,1685401200000,4657106
