name,href
Cristiano Ronaldo,https://www.futwiz.com/en/fifa23/player/cristiano-ronaldo/22243
Andriy Shevchenko,https://www.futwiz.com/en/fifa23/player/andriy-shevchenko/22668
Robin van Persie,https://www.futwiz.com/en/fifa23/player/robin-van-persie/22433
Robin van Persie,https://www.futwiz.com/en/fifa23/player/robin-van-persie/22435
Landon Donovan,https://www.futwiz.com/en/fifa23/player/landon-donovan/22706
Ricardo Carvalho,https://www.futwiz.com/en/fifa23/player/ricardo-carvalho/22717
Zinedine Zidane,https://www.futwiz.com/en/fifa23/player/zinedine-zidane/1353
Rui Costa,https://www.futwiz.com/en/fifa23/player/rui-costa/22666
Jay-Jay Okocha,https://www.futwiz.com/en/fifa23/player/jay-jay-okocha/22681
Robbie Keane,https://www.futwiz.com/en/fifa23/player/robbie-keane/22682
Gerd Muller,https://www.futwiz.com/en/fifa23/player/gerd-muller/19462
Diego Forlan,https://www.futwiz.com/en/fifa23/player/diego-forlan/22617
Park Ji Sung,https://www.futwiz.com/en/fifa23/player/park-ji-sung/22659
Ferenc Puskas,https://www.futwiz.com/en/fifa23/player/ferenc-puskas/21490
Xavi,https://www.futwiz.com/en/fifa23/player/xavi/21687
Jeremie Frimpong,https://www.futwiz.com/en/fifa23/player/jeremie-frimpong/22693
Jude Bellingham,https://www.futwiz.com/en/fifa23/player/jude-bellingham/19459
Pedri,https://www.futwiz.com/en/fifa23/player/pedri/22261
Quinten Timber,https://www.futwiz.com/en/fifa23/player/quinten-timber/22671
Khephren Thuram,https://www.futwiz.com/en/fifa23/player/khephren-thuram/22695
Enzo Fernandez,https://www.futwiz.com/en/fifa23/player/enzo-fernandez/22526
Dusan Vlahovic,https://www.futwiz.com/en/fifa23/player/dusan-vlahovic/22527
Xavi Simons,https://www.futwiz.com/en/fifa23/player/xavi-simons/22660
Mohammed Salisu,https://www.futwiz.com/en/fifa23/player/mohammed-salisu/22685
Cody Gakpo,https://www.futwiz.com/en/fifa23/player/cody-gakpo/22658
Angel Gomes,https://www.futwiz.com/en/fifa23/player/angel-gomes/22669
Eder Militao,https://www.futwiz.com/en/fifa23/player/eder-militao/22259
Vinicius Junior,https://www.futwiz.com/en/fifa23/player/vinicius-junior/22258
Randal Kolo Muani,https://www.futwiz.com/en/fifa23/player/randal-kolo-muani/22602
Jota,https://www.futwiz.com/en/fifa23/player/jota/22404
Alphonso Davies,https://www.futwiz.com/en/fifa23/player/alphonso-davies/22525
Denzel Dumfries,https://www.futwiz.com/en/fifa23/player/denzel-dumfries/22618
Christopher Nkunku,https://www.futwiz.com/en/fifa23/player/christopher-nkunku/22398
Christopher Nkunku,https://www.futwiz.com/en/fifa23/player/christopher-nkunku/22225
Marcus Rashford,https://www.futwiz.com/en/fifa23/player/marcus-rashford/21804
Lautaro Martinez,https://www.futwiz.com/en/fifa23/player/lautaro-martinez/22340
Dayot Upamecano,https://www.futwiz.com/en/fifa23/player/dayot-upamecano/22438
Ismael Bennacer,https://www.futwiz.com/en/fifa23/player/ismael-bennacer/22597
Ryan Kent,https://www.futwiz.com/en/fifa23/player/ryan-kent/22590
Ruben Neves,https://www.futwiz.com/en/fifa23/player/ruben-neves/22635
Nicolo Barella,https://www.futwiz.com/en/fifa23/player/nicolo-barella/22339
Lukas Klostermann,https://www.futwiz.com/en/fifa23/player/lukas-klostermann/22501
Diego Carlos,https://www.futwiz.com/en/fifa23/player/diego-carlos/22637
Bernardo Silva,https://www.futwiz.com/en/fifa23/player/bernardo-silva/21765
Frank Rijkaard,https://www.futwiz.com/en/fifa23/player/frank-rijkaard/22440
Paulo Dybala,https://www.futwiz.com/en/fifa23/player/paulo-dybala/22341
Leon Goretzka,https://www.futwiz.com/en/fifa23/player/leon-goretzka/22226
Sadio Mane,https://www.futwiz.com/en/fifa23/player/sadio-mane/22223
Marquinhos,https://www.futwiz.com/en/fifa23/player/marquinhos/22299
Riyad Mahrez,https://www.futwiz.com/en/fifa23/player/riyad-mahrez/22441
Harry Maguire,https://www.futwiz.com/en/fifa23/player/harry-maguire/22500
Raheem Sterling,https://www.futwiz.com/en/fifa23/player/raheem-sterling/22528
Harry Kane,https://www.futwiz.com/en/fifa23/player/harry-kane/21803
Ahmed Musa,https://www.futwiz.com/en/fifa23/player/ahmed-musa/22636
Raphael Varane,https://www.futwiz.com/en/fifa23/player/raphael-varane/22559
Luis Muriel,https://www.futwiz.com/en/fifa23/player/luis-muriel/22616
Lorenzo Insigne,https://www.futwiz.com/en/fifa23/player/lorenzo-insigne/22615
Xherdan Shaqiri,https://www.futwiz.com/en/fifa23/player/xherdan-shaqiri/22603
Alexandre Lacazette,https://www.futwiz.com/en/fifa23/player/alexandre-lacazette/22300
Marco van Basten,https://www.futwiz.com/en/fifa23/player/marco-van-basten/21685
Socrates,https://www.futwiz.com/en/fifa23/player/socrates/22439
Pele,https://www.futwiz.com/en/fifa23/player/pele/1123
Sergio Busquets,https://www.futwiz.com/en/fifa23/player/sergio-busquets/22402
Jordi Alba,https://www.futwiz.com/en/fifa23/player/jordi-alba/22425
Alexis Sanchez,https://www.futwiz.com/en/fifa23/player/alexis-sanchez/21766
Dries Mertens,https://www.futwiz.com/en/fifa23/player/dries-mertens/22686
Falcao,https://www.futwiz.com/en/fifa23/player/falcao/22683
Franco Baresi,https://www.futwiz.com/en/fifa23/player/franco-baresi/21688
Lukas Podolski,https://www.futwiz.com/en/fifa23/player/lukas-podolski/22624
Javier Mascherano,https://www.futwiz.com/en/fifa23/player/javier-mascherano/22684
Nani,https://www.futwiz.com/en/fifa23/player/nani/22667
Tim Cahill,https://www.futwiz.com/en/fifa23/player/tim-cahill/22600
Ronaldo Nazario,https://www.futwiz.com/en/fifa23/player/ronaldo-nazario/19092
Ronaldinho,https://www.futwiz.com/en/fifa23/player/ronaldinho/19466
Joan Capdevilla,https://www.futwiz.com/en/fifa23/player/joan-capdevilla/22634
Luis Figo,https://www.futwiz.com/en/fifa23/player/luis-figo/22498
Luis Figo,https://www.futwiz.com/en/fifa23/player/luis-figo/22499
Emmanuel Petit,https://www.futwiz.com/en/fifa23/player/emmanuel-petit/22471
Emmanuel Petit,https://www.futwiz.com/en/fifa23/player/emmanuel-petit/22472
Zinedine Zidane,https://www.futwiz.com/en/fifa23/player/zinedine-zidane/19078
Clarence Seedorf,https://www.futwiz.com/en/fifa23/player/clarence-seedorf/22473
Gianfranco Zola,https://www.futwiz.com/en/fifa23/player/gianfranco-zola/22509
Paolo Maldini,https://www.futwiz.com/en/fifa23/player/paolo-maldini/21557
Alessandro Del Piero,https://www.futwiz.com/en/fifa23/player/alessandro-del-piero/21639
Paul Scholes,https://www.futwiz.com/en/fifa23/player/paul-scholes/22661
Gerd Muller,https://www.futwiz.com/en/fifa23/player/gerd-muller/171
Jaheim Headley,https://www.futwiz.com/en/fifa23/player/jaheim-headley/22694
Fernando Torres,https://www.futwiz.com/en/fifa23/player/fernando-torres/21641
Petr Cech,https://www.futwiz.com/en/fifa23/player/petr-cech/22483
Ferenc Puskas,https://www.futwiz.com/en/fifa23/player/ferenc-puskas/1351
Eric Cantona,https://www.futwiz.com/en/fifa23/player/eric-cantona/21492
Vitinha,https://www.futwiz.com/en/fifa23/player/vitinha/22460
Gift Links,https://www.futwiz.com/en/fifa23/player/gift-links/22463
Gabriel Martinelli,https://www.futwiz.com/en/fifa23/player/gabriel-martinelli/22560
Toby Savin,https://www.futwiz.com/en/fifa23/player/toby-savin/22670
Kenny Dalglish,https://www.futwiz.com/en/fifa23/player/kenny-dalglish/21689
Garrincha,https://www.futwiz.com/en/fifa23/player/garrincha/1349
Tajon Buchanan,https://www.futwiz.com/en/fifa23/player/tajon-buchanan/22619
Jonathan David,https://www.futwiz.com/en/fifa23/player/jonathan-david/22301
Moussa Diaby,https://www.futwiz.com/en/fifa23/player/moussa-diaby/22227
Aurelien Tchouameni,https://www.futwiz.com/en/fifa23/player/aurelien-tchouameni/22567
Ferran Torres,https://www.futwiz.com/en/fifa23/player/ferran-torres/22566
Pedro Goncalves,https://www.futwiz.com/en/fifa23/player/pedro-goncalves/22376
Eder Militao,https://www.futwiz.com/en/fifa23/player/eder-militao/19464
Alexis Mac Allister,https://www.futwiz.com/en/fifa23/player/alexis-mac-allister/22552
Lisandro Martinez,https://www.futwiz.com/en/fifa23/player/lisandro-martinez/22511
Lev Yashin,https://www.futwiz.com/en/fifa23/player/lev-yashin/1399
Phil Foden,https://www.futwiz.com/en/fifa23/player/phil-foden/22357
Davidson,https://www.futwiz.com/en/fifa23/player/davidson/22405
Facundo Medina,https://www.futwiz.com/en/fifa23/player/facundo-medina/22302
Achraf Hakimi,https://www.futwiz.com/en/fifa23/player/achraf-hakimi/19467
Levi Lumeka,https://www.futwiz.com/en/fifa23/player/levi-lumeka/22490
Gedson Fernandes,https://www.futwiz.com/en/fifa23/player/gedson-fernandes/22598
Theo Hernandez,https://www.futwiz.com/en/fifa23/player/theo-hernandez/22342
Theo Hernandez,https://www.futwiz.com/en/fifa23/player/theo-hernandez/19461
Caio Henrique,https://www.futwiz.com/en/fifa23/player/caio-henrique/22564
Richarlison,https://www.futwiz.com/en/fifa23/player/richarlison/22475
Jesper Karlsson,https://www.futwiz.com/en/fifa23/player/jesper-karlsson/22664
Kylian Mbappe,https://www.futwiz.com/en/fifa23/player/kylian-mbappe/19190
Trent Alexander-Arnold,https://www.futwiz.com/en/fifa23/player/trent-alexander-arnold/22503
Renato Sanches,https://www.futwiz.com/en/fifa23/player/renato-sanches/22529
George Best,https://www.futwiz.com/en/fifa23/player/george-best/21493
Eric Bailly,https://www.futwiz.com/en/fifa23/player/eric-bailly/22444
Marcos Acuna,https://www.futwiz.com/en/fifa23/player/marcos-acuna/22519
Sheraldo Becker,https://www.futwiz.com/en/fifa23/player/sheraldo-becker/22443
Josh Brownhill,https://www.futwiz.com/en/fifa23/player/josh-brownhill/21841
Ruud Gullit,https://www.futwiz.com/en/fifa23/player/ruud-gullit/19451
Chuba Akpom,https://www.futwiz.com/en/fifa23/player/chuba-akpom/21842
Aderllan Santos,https://www.futwiz.com/en/fifa23/player/aderllan-santos/22662
